state,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Idaho,0.13535115729139122,0.17566173585519965,0.09359253157149693,0.138309252268373,0.17002063112893245,0.19439071798345697,0.3235075351641234,0.10904417706394545,0.12215395688961418,0.10395262540186652,0.21690393709897185,0.1779289213012402,0.18181024713757588,0.21067053373969258,0.2240810630901232,0.38471921705709483
Illinois,0.5300398515767138,0.5260333898981151,0.5067447423475165,0.4432018126211539,0.4451369294298759,0.46230340383617563,0.45555995868242194,0.48360749990385665,0.5104063127727336,0.47111281671475974,0.54579980558239,0.5577604888347103,0.587610191378299,0.6203316742193831,0.7092747866181162,1.0
Indiana,0.480778851349409,0.4158661608935833,0.3836103632935778,0.34711368774538426,0.39404724085191273,0.39895539532623636,0.3895842535526754,0.3499838438803295,0.36336803484970437,0.29916174002711227,0.34158088241522816,0.35761235754723053,0.45871478332205284,0.44811925142681064,0.5247573510355115,0.6298592740313961
Iowa,0.06670052227573353,0.038847256468977354,0.06807616580371728,0.04959656902757877,0.03730016752744792,0.09167227736779578,0.041584134063370685,0.20703779518740156,0.05524945278581095,0.058667991236691544,0.0774992848545557,0.10198257701891185,0.07346136861033103,0.16690199447996096,0.22444907085497995,0.21797182033776527
Kansas,0.1570990674745295,0.1280885719989487,0.24059406503415062,0.23229903109544756,0.18572759529774366,0.25198149616388427,0.19899420559154657,0.24732240048989287,0.30020310505544745,0.21793350774528183,0.2677784553140919,0.173214320768779,0.30251443046499765,0.23353725868595201,0.3664230231892014,0.3617035079726671
Kentucky,0.4051333216781694,0.4251616697335835,0.42430388486166326,0.5748942158944272,0.43586676879744585,0.37081239618545747,0.4640246914714717,0.42006670650839023,0.4044395904606343,0.40749424189299155,0.2819676409475895,0.4389236226322059,0.40007509629668053,0.3869424530266924,0.552329914068914,0.7082597471229715
Louisiana,0.5939312172187229,0.7580619479590194,0.7687401902496432,0.7322995653398308,0.6684027530033794,0.7915271790385427,0.8741640156901267,0.7959036363637658,0.7682097317351801,0.7661138575540326,0.7629892148744843,0.771775634762542,0.7629589978487707,0.7554920979522171,0.7769317890294218,0.9149547877241523
Maine,0.07696461239427457,0.029683530799580277,0.052900901894247655,0.07490938346216261,0.08347927753693372,0.11149372030092577,0.09075182478346502,0.19719293465841645,0.15391239403337553,0.12530389742034395,0.13793382649440247,0.14103214434985262,0.14308281368890255,0.1437320733196522,0.18904398674176062,0.17641431247959077
Maryland,0.46131791186283294,0.5527981967012424,0.5977512431633101,0.6119301178361872,0.6662364172272361,0.6716926655572744,0.699606703779696,0.5966756410182318,0.5723427545738502,0.5860784859457061,0.5729687425619153,0.546341051231975,0.5826553527984148,0.58443250993733,0.928659214308774,0.9515057916042067
Massachusetts,0.1343891853068802,0.18321718523355815,0.1328829470131548,0.1970744745837266,0.22031324554459508,0.22977149091111385,0.23336947082082443,0.1907515983037485,0.2072743426286565,0.27821938130987517,0.23950221548695072,0.13029789564289435,0.17386976291683254,0.18434068375767798,0.195662823937476,0.2326754085201913
Michigan,0.4422904901273633,0.47332967528350955,0.4268682288051892,0.4887096021522794,0.46107476796723224,0.5206581482507078,0.5005502707681868,0.4254777514479531,0.5149334176782776,0.4967182526563668,0.5895168498141574,0.6857617126121655,0.6565688863405866,0.6272387626394088,0.7340591032201115,0.7559672029504272
Minnesota,0.11632915555106021,0.10413943447204084,0.14123217344136768,0.11684827663079561,0.11460555253055361,0.13333705067200985,0.11688415916551131,0.11819307845811731,0.05600527343971366,0.10865084695543935,0.062225885696347114,0.1130448160625996,0.15876120844051084,0.10743291012880557,0.22277890376947493,0.150527554439477
Mississippi,0.6790983209897508,0.6300667034593328,0.6591766901917829,0.584088977119778,0.5834964310169413,0.6487077353608055,0.5708537025022528,0.7262365970519005,0.5685627302444907,0.597257813423042,0.6838331661083262,0.6673734381145773,0.7009148707641626,0.7935655610453094,0.8242472966591317,0.7617289588064747
Missouri,0.354688240723418,0.31622939680069734,0.2619211140315995,0.3602097179225151,0.41225183624745787,0.37414734979456216,0.3674739445051875,0.5105543135581244,0.45097998084256496,0.5063361300901154,0.4331756169439489,0.4659551658030063,0.4647000618620493,0.5568069631430681,0.7162815019409778,0.778846631029113
Montana,0.23340734160305499,0.0609218244623902,0.208487302039008,0.22730631179197,0.08090725398360149,0.25358889511946714,0.17965093903584087,0.34811220974552065,0.27951966401287126,0.18967905733202875,0.25635239937103943,0.2278517729064268,0.15765963692600385,0.3257198743761828,0.2853976337394588,0.27843375654482266
Nebraska,0.0871093243901355,0.11119599930447792,0.15931154184094454,0.0931226792544448,0.11799675473654132,0.15682691449817618,0.2796319398612785,0.29711779947507777,0.14239658917559442,0.22729027079305658,0.3014042901817946,0.20331663415489495,0.2398037967117572,0.2363003907174161,0.3287338499411676,0.22792894750708448
Nevada,0.5605334461237936,0.5102956422298193,0.49026777452349773,0.4024543260114478,0.4796358969025679,0.5152910017296018,0.4455560142933883,0.3978715144814814,0.41535809147111685,0.4598451851709744,0.4349342744266371,0.33172657163993935,0.4610092822715108,0.5077813425451396,0.5060331217142986,0.6858379089462705
New Hampshire,0.08768363824660813,0.03524771223901027,0.09336543685685042,0.09003204803255606,0.13919236521919245,0.04947768184644813,0.03523776210943417,0.04714508341341597,0.012618498924691392,0.031808073085721554,0.0437099325700413,0.037164069610102456,0.11275618936154164,0.03432831984754853,0.07541804059872766,0.169036985081831
New Jersey,0.3018898903568806,0.3274314871657839,0.42969945376047464,0.43124709487615426,0.4848796752988524,0.5119675559477211,0.46656158243771795,0.44273772953906526,0.40381693417341824,0.48061617395879874,0.4760852898707312,0.5161252702910155,0.5894446277406544,0.5456944051306054,0.6112080488514989,0.6799706753684998
